feature,importance
duration,0.11899183734565058
location,0.06807578400066273
mindcurrent,0.049142412119646
data,0.04765715048364375
morning,0.04153425513126875
science,0.03937192424295713
meeting,0.03312066884873595
team,0.029304479488761057
intern,0.023138884870592236
hours,0.022885835990224302
internship,0.0201260965847104
office,0.019763174764478992
sterlin,0.01970001933845299
email,0.0169185088897235
responses,0.01585227290582151
payment,0.01569408843781164
kasey,0.014888925823118078
rae,0.014634506812113257
planning,0.014317989244520482
model,0.01405019166277462
kiyoka,0.013211439446722293
slack,0.013021102880626323
leadership,0.012991452450405547
discussion,0.012679039155123853
off,0.012454014160583437
kick,0.012335445467214013
dinner,0.012063898156479775
with,0.011538037340985574
marketing,0.010794499779775821
updates,0.01055602142164005
stress,0.009654670523423885
coordination,0.009357660577534118
workout,0.009289223444578738
cleaning,0.009179495570056494
prediction,0.008221951588675518
daily,0.008056631052615266
weekly,0.00783285121436134
for,0.007619105651102969
issues,0.007197409122745953
trash,0.00689323725229777
orientation,0.006786440486382622
olivia,0.006576406429677281
play,0.006296545524422521
sprint,0.006284811174766627
visualization,0.0058190543275757275
aman,0.005744368027087007
time,0.0056192123882347796
tax,0.005582099613120827
afwerxfusion,0.005074673042295031
night,0.0050192728303521655
the,0.005004154473805019
finalizing,0.004969875587952036
deal,0.004965950024764042
outing,0.004155409188718395
review,0.004021973899284681
on,0.0038493239218562476
bedtime,0.0037896895838666583
accelone,0.0037525365677800065
collection,0.0036157855335974018
integration,0.0036120247086292184
showcase,0.0034872954159163748
end,0.0034799234977680943
rosanna,0.003044383902451602
dev,0.002913168830057335
content,0.0028660235423183305
front,0.002816643821278944
reminder,0.0027830001238222054
rommates,0.0026934907765014332
malur,0.0026720013109907087
internships,0.0025476243144551864
up,0.002491849916093699
2020,0.00243431073034367
supervisor,0.0023195844153434545
thinking,0.0022177280047689795
into,0.0022091124282726934
pg,0.0019493438043371976
user,0.0019114717095913667
plan,0.0018977876844877663
shrikar,0.0018576012916456833
follow,0.0018088951059780536
ultranauts,0.0017880708734539015
schema,0.0016447175445982241
back,0.0015101703787402875
