event_id,summary,stress_level,location,duration,start_date_time,end_date_time,morning
0,Weekly supervisor meeting with team,2.0,1,30,2020-07-06T14:00:00-05:00,2020-07-06T14:30:00-05:00,0
1,Weekly thinking meeting with team,2.0,1,30,2020-07-07T11:30:00-05:00,2020-07-07T12:00:00-05:00,1
2,Weekly payment meeting with team,4.0,1,150,2020-07-07T14:00:00-05:00,2020-07-07T14:30:00-05:00,0
3,Weekly meeting meeting with team,2.0,1,30,2020-07-08T14:00:00-05:00,2020-07-08T14:30:00-05:00,0
4,Weekly user meeting with team,2.0,1,30,2020-07-09T14:00:00-05:00,2020-07-09T14:30:00-05:00,0
5,Mindcurrent Team Meeting,2.0,1,60,2020-07-10T10:00:00-05:00,2020-07-10T11:00:00-05:00,1
6,Content Marketing Daily Sprint,3.0,1,30,2020-07-10T14:00:00-05:00,2020-07-10T14:30:00-05:00,0
7,Meeting with the Manager,3.0,1,60,2020-07-17T10:00:00-05:00,2020-07-17T11:00:00-05:00,1
8,Mindcurrent Team Meeting,2.0,1,60,2020-07-24T10:00:00-05:00,2020-07-24T11:00:00-05:00,1
9,Mindcurrent Team Meeting,2.0,1,60,2020-07-31T10:00:00-05:00,2020-07-31T11:00:00-05:00,1
10,Mindcurrent Team Meeting,2.0,1,60,2020-08-07T10:00:00-05:00,2020-08-07T11:00:00-05:00,1
11,Mindcurrent Team Meeting,2.0,1,60,2020-08-14T10:00:00-05:00,2020-08-14T11:00:00-05:00,1
12,Mindcurrent Team Meeting,2.0,1,60,2020-08-21T10:00:00-05:00,2020-08-21T11:00:00-05:00,1
13,Data Science Internship: Coordination/Planning,3.0,1,60,2020-07-06T11:00:00-05:00,2020-07-06T12:00:00-05:00,1
14,Data Science Intern Office Hours,2.0,1,60,2020-07-10T11:00:00-05:00,2020-07-10T12:00:00-05:00,1
15,Data Science Internship: Coordination/Planning,3.0,1,60,2020-07-13T11:00:00-05:00,2020-07-13T12:00:00-05:00,1
16,Data Science Internship: Coordination/Planning,1.0,1,60,2020-07-06T11:00:00-05:00,2020-07-06T12:00:00-05:00,1
17,Data Science Intern Office Hours,1.0,1,60,2020-07-10T11:00:00-05:00,2020-07-10T12:00:00-05:00,1
18,Data Science Internship: Coordination/Planning,1.0,1,60,2020-07-13T11:00:00-05:00,2020-07-13T12:00:00-05:00,1
19,Data Science Intern Office Hours,1.0,1,60,2020-07-17T11:00:00-05:00,2020-07-17T12:00:00-05:00,1
20,Data Science Internship: Coordination/Planning,1.0,0,60,2020-07-20T11:00:00-05:00,2020-07-20T12:00:00-05:00,1
21,Data Science Intern Office Hours,1.0,1,60,2020-07-24T11:00:00-05:00,2020-07-24T12:00:00-05:00,1
22,Data Science Internship: Coordination/Planning,1.0,1,60,2020-07-27T11:00:00-05:00,2020-07-27T12:00:00-05:00,1
23,Data Science Intern Office Hours,1.0,0,60,2020-07-31T11:00:00-05:00,2020-07-31T12:00:00-05:00,1
24,Data Science Internship: Coordination/Planning,1.0,1,60,2020-08-03T11:00:00-05:00,2020-08-03T12:00:00-05:00,1
25,Data Science Intern Office Hours,1.0,1,60,2020-08-07T11:00:00-05:00,2020-08-07T12:00:00-05:00,1
26,Data Science Internship: Coordination/Planning,1.0,1,60,2020-08-10T11:00:00-05:00,2020-08-10T12:00:00-05:00,1
