feature,importance
duration,0.2648449057413657
location,0.0606954923179023
morning,0.05156028344608052
mindcurrent,0.03600392375311396
meeting,0.025969719558798857
team,0.023561059525241262
data,0.017008957733940913
call,0.015240044523441392
support,0.014573992563780124
science,0.014352616590094769
review,0.012089789410153366
office,0.011837274387087484
customer,0.011408296192050714
sync,0.011250343202243156
with,0.011219059593317282
strategy,0.011074462584344726
hours,0.010127051563342369
planning,0.00989826727907488
intern,0.009896011353392981
vendor,0.008639588800480224
kasey,0.008372888165297283
coordination,0.008262088208246466
client,0.008000154243660993
content,0.007598155733432593
performance,0.007592118521644158
briefing,0.007460507225751794
sterlin,0.0072163023051712415
design,0.007182020577757362
task,0.006965214561472127
discussion,0.006938810795083402
admin,0.006563429849991965
daily,0.00654112020641467
internship,0.00641601122666898
off,0.0061157284073667
marketing,0.006102405272189987
leadership,0.006087373806180015
research,0.006056419307308716
kiyoka,0.006040140896709861
project,0.005979606036634676
session,0.005959500857863576
rae,0.0057339346842600735
workout,0.0055596445893414705
untitled,0.005525158970964747
the,0.005433979626245241
bedtime,0.005379547788457211
brand,0.0052582487319822934
update,0.005221968465011122
prep,0.005083136901748722
time,0.004957538044266529
olivia,0.00493240409513789
workshop,0.004756296311364954
kick,0.0047481514489551725
board,0.0047380557591708665
manager,0.0045293685426741085
dinner,0.004522932052815614
sprint,0.004476311440482808
for,0.004443085824827195
end,0.004330496378782667
cleaning,0.004289849993024085
outreach,0.004159177097018188
night,0.00408863838577449
stress,0.004057294285551156
overview,0.00393576947266724
model,0.003677074216501823
updates,0.0036599144341998833
aman,0.0035773208182170234
prediction,0.0035715329260567947
finalizing,0.003490825326505047
all,0.0034455727408058013
play,0.0033202830869432974
executive,0.003313848662032071
hands,0.003279346694825301
training,0.003176947256247833
tech,0.003173820031120467
finance,0.0031577740858352897
trash,0.003115319701890112
onboarding,0.0030184207418337775
responses,0.0029390414142233573
email,0.0028440497371590868
panel,0.0028430491903247306
rosanna,0.0027912739540671377
slack,0.00270100017548468
ux,0.002677901951034828
partner,0.0026384477894329083
rommates,0.002603754678838414
weekly,0.002551461122778737
feedback,0.002490924952294742
recruitment,0.0023839266566794064
front,0.00213932339563738
internships,0.0021120392636204645
plan,0.002046409880946039
monthly,0.0019412454060012082
audit,0.0019256717547182739
check,0.0018741123062818888
ultranauts,0.0018606801893953197
hr,0.0018121353663080359
supervisor,0.0017881099280954466
dev,0.001705030273362091
qa,0.0016828379189100192
shrikar,0.0016704995163298341
2020,0.0016671375304256706
budget,0.0016664091557672808
wrap,0.001511597231850784
security,0.0015071323542631518
malur,0.0014563043788650334
orientation,0.0013918417615706932
in,0.0013875769324351245
outing,0.001364115645727948
accelone,0.0012299456204028242
reminder,0.001222620127184644
pg,0.0011503445030546639
of,0.0011194862817168211
week,0.0010154009078857417
schema,0.0010137298235724922
showcase,0.0009290223628351504
back,0.0008831388966636759
into,0.0006686497592173877
integration,0.0005770474533639151
afwerxfusion,0.0003754465136410935
internal,0.0
catch,0.0
collection,0.0
deal,0.0
development,0.0
follow,0.0
on,0.0
issues,0.0
payment,0.0
tax,0.0
thinking,0.0
visualization,0.0
up,0.0
user,0.0
